xRV Of Event (Count Ind),count,mean,25%,50%,75%,min,max
-0.3802,423.0,24.011075470991535,23.594895195364998,23.9368644471,24.413775007670004,22.79376925846,25.62074859078
-0.375,1163.0,23.988222125976883,23.63166111666,23.9491077912,24.33343134881,22.80645718442,25.5782813328
-0.12,426.0,24.035347211406293,23.652861598305,23.976448301939996,24.3471162982975,22.742160153,25.502003717919997
-0.06,1863.0,24.034057548598323,23.658995857660003,23.99017394569,24.398071441059997,22.610207557949998,25.63990425918
-0.03,1591.0,23.929564803671546,23.56567218715,23.87926755051,24.2834882564,22.64011470684,25.55466649164
0.055,3886.0,24.02985573247011,23.6376447222425,23.99287816769,24.402301549995002,21.39292248126,25.79642904828
0.39687,317.0,24.00361138275729,23.608947732,23.99820070256,24.32903941527,22.89388537872,25.66113198264
0.418,45.0,23.93428139926778,23.626828072320002,23.80063241192,24.320066573050003,22.726553616,25.597372974
0.5888,449.0,24.06263633462822,23.69179698781,24.017962839579997,24.48663442746,22.80257440565,25.51598988696
0.6,51.0,24.05403493995922,23.659348863559998,24.04491797514,24.478604466340002,22.93491620885,25.22284921165
0.891,103.0,24.085822071806508,23.70695988216,24.05406080212,24.507297296990004,22.952023342919997,25.355936057500003
1.183,11.0,24.026292320363634,23.66103584988,23.79896558282,24.28890768162,23.32552716036,25.32888522776
1.459,70.0,23.923659345224433,23.623647490125,23.874463784605002,24.23912896782,22.90982436144,25.0857099724
