xRV Of Event (Count Ind),count,mean,25%,50%,75%,min,max
-0.3802,423.0,2.4606097342384223,2.3245480278299846,2.52011683261636,2.6197110226681066,1.7447165620709089,3.0472568593751905
-0.375,1163.0,2.44325377348469,2.3051811703886838,2.4919944677722814,2.5909890904145114,1.7105684047752225,3.0736319264295457
-0.12,426.0,2.4451792288734993,2.263110496951555,2.5036898131795144,2.613484387099658,1.708680266622469,3.0111774908460203
-0.06,1863.0,2.438783996145392,2.332952458326795,2.483404648436821,2.5915732415653103,1.6886358186675312,3.0477397961671624
-0.03,1591.0,2.4904113602439013,2.395797808612781,2.5230480438808516,2.623721626621485,1.7313978613773617,3.113945493498082
0.055,3886.0,2.4277161707668204,2.274667245851291,2.476188353929305,2.5888275279199453,1.6432962550921644,3.129361547657047
0.39687,317.0,2.4519628084181293,2.3564509021672277,2.487005396801711,2.591412060431729,1.7178145962706246,3.0423618463485576
0.418,45.0,2.4907749944513693,2.4477766844375255,2.516584290474225,2.577797941886123,1.927811182461545,2.730860084383577
0.5888,449.0,2.4227103776859633,2.29044700363723,2.4615626984634926,2.5827113303546065,1.7003448299315103,2.968865507423648
0.6,51.0,2.4541056382932354,2.3472266703890807,2.482855880147581,2.6380924413475015,1.739354282116307,2.9739600061858367
0.891,103.0,2.403844011450286,2.219765715834921,2.4620596606296963,2.525255738831953,1.9574566374418392,2.990475336054666
1.183,11.0,2.3693335754146037,2.26851278608291,2.386099538528349,2.4764847505774927,1.9065995035214893,2.6596239823613734
1.459,70.0,2.4584988748933716,2.3557196002400573,2.4891164059860023,2.595631225428907,1.9799588564549628,3.002570200091278
