xRV Of Event (Count Ind),count,mean,25%,50%,75%,min,max
-0.3802,423.0,21.02868400944285,15.784926120750434,20.270657887456426,26.256880339766028,11.83534626375939,31.712241050775955
-0.375,1163.0,21.169107091862106,16.79212336797979,20.56128207334915,25.65622089915333,10.2377415215209,32.71232344175197
-0.12,426.0,20.518278554142068,15.810105701848846,18.787355530581017,26.02967965751933,11.814500002444618,32.60316765449931
-0.06,1863.0,21.28372712268889,16.941554394621207,20.574947487634187,25.931244308679545,11.03818356334959,32.28706089974059
-0.03,1591.0,20.35184805704503,16.338590584400542,19.229252894414046,24.549206144761882,10.987399432087079,32.03561878031276
0.055,3886.0,21.38105828988617,17.12714778272246,20.820985197734327,25.670522160802417,10.343168424317618,32.995345098830946
0.39687,317.0,20.94688433824171,17.129535018156357,20.459509575114293,25.033479834878186,12.724991194782016,31.509575383572695
0.418,45.0,20.67895501430559,17.10766856509197,18.58294959839306,24.703416978786017,13.849281880827784,29.144862438136627
0.5888,449.0,21.937029745923184,17.520160060372856,21.41442688048098,26.288618983113047,11.762949922156121,31.745293846940204
0.6,51.0,22.412656674895132,18.21065109225098,22.79010976629445,26.46683050385466,13.728635452477642,32.214611967453195
0.891,103.0,21.669714972401778,17.423984112994567,21.253714251132955,25.402513820173336,13.459162541670874,30.835338341079712
1.183,11.0,22.90909059607437,21.00355651292537,22.435445098905856,24.585308285085922,17.881733056033752,30.088137793645288
1.459,70.0,21.76058967542601,17.74262350233261,21.305423503895547,26.404927146228868,14.067930914536218,31.398231073600694
