xRV Of Event (Count Ind),count,mean,25%,50%,75%,min,max
-0.3802,423.0,3.278777352245863,1.275985,2.59603,4.6221499999999995,0.00016,11.8726
-0.375,1163.0,3.3510966208082547,1.324035,2.78579,4.9393899999999995,0.00295,14.89371
-0.12,426.0,3.4728406103286384,1.396735,3.0224849999999996,4.8688025,0.02134,12.54658
-0.06,1863.0,3.34583910359635,1.349805,2.88949,4.857894999999999,0.00126,14.43257
-0.03,1591.0,3.2045873601508483,1.17734,2.66417,4.78071,0.01094,13.73709
0.055,3886.0,3.541250959855893,1.3984675,3.01506,5.1527625,0.0,15.03379
0.39687,317.0,3.536871955835962,1.54315,3.33433,4.89532,0.02098,15.59934
0.418,45.0,3.193341333333333,1.27429,2.9061,4.39012,0.38236,10.63855
0.5888,449.0,3.7743004899777284,1.56953,3.35984,5.33422,0.00587,12.83154
0.6,51.0,4.05546274509804,1.49673,3.75134,5.934845,0.05756,9.82914
0.891,103.0,3.526804271844661,1.842005,3.18642,5.06459,0.05744,11.82666
1.183,11.0,4.2245181818181825,1.39006,3.17024,5.679589999999999,0.33476,11.84634
1.459,70.0,3.1438517142857143,1.5779425,2.639605,4.4126199999999995,0.03315,11.50926
