xRV Of Event (Count Ind),count,mean,25%,50%,75%,min,max
-0.3802,423.0,7.082217257683215,4.45382,6.85756,9.316895,0.02106,17.94131
-0.375,1163.0,6.3569219948409295,3.27886,5.96154,9.07225,0.02035,18.52741
-0.12,426.0,7.597237699530517,4.89648,7.108195,9.8862,0.0528,18.12107
-0.06,1863.0,6.464928738593667,3.345415,6.12796,9.256065,0.00161,21.65261
-0.03,1591.0,6.268959233186676,3.48742,5.84374,8.57333,0.00839,18.91655
0.055,3886.0,6.2752650849202265,3.129335,6.0021450000000005,8.840605,0.00016,19.01698
0.39687,317.0,5.817031987381704,2.5687,5.6724,8.06426,0.03394,18.15576
0.418,45.0,6.435584888888888,3.85705,6.38607,8.65941,1.19937,12.8843
0.5888,449.0,6.043843919821826,2.81705,5.48024,8.7443,0.01665,17.81418
0.6,51.0,6.250666666666667,3.4152,5.85489,8.3276,0.03602,16.9895
0.891,103.0,5.930024368932039,2.5796650000000003,5.34831,8.389140000000001,0.15516,17.08595
1.183,11.0,4.49365,2.4297250000000004,4.48481,5.37819,0.4876,12.67772
1.459,70.0,5.568657428571428,2.799405,4.577165000000001,7.9804025,0.40272,12.9517
