xRV Of Event (Count Ind),count,mean,25%,50%,75%,min,max
-0.3802,427.0,-0.4131269652561125,-0.9322931579633364,0.0,0.0,-0.9999999999061435,0.0
-0.375,1170.0,-0.3822278474538907,-0.8955716910035555,0.0,0.0,-0.9999999278026287,0.0
-0.12,428.0,-0.4602178459557831,-0.9456779174388081,-0.4820291484942939,0.0,-0.9999950700806147,0.0
-0.06,1871.0,-0.37648538351847416,-0.872278661861235,-0.021604779470367808,0.0,-0.9999999821985052,0.0
-0.03,1597.0,-0.4352178661844314,-0.9253058180474953,-0.3443748341725999,0.0,-0.9999988281222935,0.0
0.055,3903.0,-0.36211310538316194,-0.8630305080461469,0.0,0.0,-0.9999999999988205,0.0
0.39687,318.0,-0.36749201649238417,-0.8505460375474196,0.0,0.0,-0.9999949182179658,0.0
0.418,45.0,-0.45023463993611607,-0.8820284119956167,-0.5200384994527585,0.0,-0.9924658293425588,0.0
0.5888,452.0,-0.3001489148405596,-0.7325728935412151,0.0,0.0,-0.999999067404395,0.0
0.6,51.0,-0.23697996749293884,-0.49029983428392054,0.0,0.0,-0.9989688676527525,0.0
0.891,103.0,-0.3312275533164246,-0.7795036693984347,0.0,0.0,-0.9999103733967777,0.0
1.183,11.0,-0.1864151250338982,-0.15942514876098357,0.0,0.0,-0.939719587512438,0.0
1.459,71.0,-0.31233310118829294,-0.7291988570615973,0.0,0.0,-0.9962493853430485,0.0
