xRV Of Event (Count Ind),count,mean,25%,50%,75%,min,max
-0.3802,427.0,0.3847311081955072,0.0,0.0,0.9240947053744272,0.0,0.9999999475336708
-0.375,1170.0,0.3787917839330986,0.0,0.0,0.9061637854435292,0.0,0.9999999304180902
-0.12,428.0,0.3509836523963733,0.0,0.0,0.8757243501380122,0.0,0.9999564341080699
-0.06,1871.0,0.39034724039363966,0.0,0.0,0.926998214211574,0.0,0.9999986288846519
-0.03,1597.0,0.342668067361227,0.0,0.0,0.8812101796674889,0.0,0.9999993904868629
0.055,3903.0,0.3906582310677144,0.0,0.06577305636216076,0.9129004691908043,0.0,0.9999997380528148
0.39687,318.0,0.3794099423176495,0.0,0.02071766158378838,0.8678537677505423,0.0,0.9999919925471791
0.418,45.0,0.3567023009111469,0.0,0.0,0.9605982273824553,0.0,0.9993852641602836
0.5888,452.0,0.4232279523142489,0.0,0.2708512347619921,0.9125320746248882,0.0,0.9999883669626339
0.6,51.0,0.4694889779875455,0.0,0.51141354180956,0.9634291341550697,0.0,0.9999790143330672
0.891,103.0,0.40147516500382147,0.0,0.31906107187031146,0.8640314163151526,0.0,0.9999652072328702
1.183,11.0,0.4555644836242012,0.0007370871827302581,0.3109779802676296,0.9010559780977406,0.0,0.9997121627889154
1.459,71.0,0.4367784248509025,0.0,0.21178690452769186,0.9412813055702749,0.0,0.9998319343128824
