xRV Of Event (Count Ind),count,mean,25%,50%,75%,min,max
-0.3802,427.0,-0.20787742829354794,-0.3434865921128494,-0.0003239331035043899,0.0,-0.9990968371269533,0.0
-0.375,1170.0,-0.18171060302487707,-0.2526126924738949,0.0,0.0,-0.9999998653603488,0.0
-0.12,428.0,-0.21563382014896304,-0.4080731958751005,0.0,0.0,-0.9997707488035948,0.0
-0.06,1871.0,-0.18105352535929722,-0.2785208362694652,0.0,0.0,-0.9999907042004251,0.0
-0.03,1597.0,-0.19667715203529426,-0.3177453685554132,0.0,0.0,-0.9999997544504814,0.0
0.055,3903.0,-0.1838808179835272,-0.26845556538717863,0.0,0.0,-0.9999995017748512,0.0
0.39687,318.0,-0.17947801967130492,-0.27961105349327164,0.0,0.0,-0.9997750395440725,0.0
0.418,45.0,-0.1952536904220537,-0.34081791995962996,0.0,0.0,-0.9602880468159136,0.0
0.5888,452.0,-0.19077897115645456,-0.26442566155949393,0.0,0.0,-0.9996815953451627,0.0
0.6,51.0,-0.19411633405452025,-0.2392635621845733,0.0,0.0,-0.9980302885019241,0.0
0.891,103.0,-0.121760153282643,-0.01848411329458962,0.0,0.0,-0.9704057273562213,0.0
1.183,11.0,-0.24316658995969342,-0.30712778959540554,-0.023991489572536003,0.0,-0.9923385290383023,0.0
1.459,71.0,-0.18390479967633244,-0.316769402239679,0.0,0.0,-0.9999746681833471,0.0
