xRV Of Event (Count Ind),count,mean,25%,50%,75%,min,max
-0.3802,427.0,0.2171750478391512,0.0,0.0,0.3738053257373245,0.0,0.9999880962646621
-0.375,1170.0,0.29293829535942445,0.0,0.11263265074974976,0.5794129960368857,0.0,0.9999989834060615
-0.12,428.0,0.21752890930620358,0.0,0.04632559996091788,0.4167838856087725,0.0,0.9999606922318895
-0.06,1871.0,0.2913669251364101,0.0,0.10545812959741444,0.5490385386474497,0.0,0.9999974122639935
-0.03,1597.0,0.2628255015494143,0.0,0.05331784939382406,0.49276913717699744,0.0,0.9999990340019143
0.055,3903.0,0.3049257745433277,0.0,0.1335447975692988,0.5939074938027233,0.0,0.999999936478422
0.39687,318.0,0.3323775857050983,0.0,0.14603723405458544,0.6891286383963124,0.0,0.999999200707854
0.418,45.0,0.2713159024142895,0.0,0.03505843378247433,0.4928067401214174,0.0,0.9594153511408426
0.5888,452.0,0.3306707352744316,0.0,0.1753989562072829,0.6278653534898022,0.0,0.999999998175567
0.6,51.0,0.34279333028702635,0.0,0.07750525472918551,0.7157135898448745,0.0,0.9990657460707716
0.891,103.0,0.4110973364593735,0.0,0.34569460831530435,0.7773600464659467,0.0,0.9999873859630839
1.183,11.0,0.3390530775977105,0.0,0.0,0.6195210762845551,0.0,0.9999989134043797
1.459,71.0,0.30922576903609744,0.0,0.18913820315016627,0.6171405444153055,0.0,0.9965900945661033
