feature_i,feature_j,pearson_r,spearman_r,abs_pearson,abs_spearman,max_abs_corr
HorzBreak,DeltaHorzAngle,0.9997007404390256,0.9998943332612241,0.9997007404390256,0.9998943332612241,0.9998943332612241
VertBreak,DeltaVertAngle,0.9969758185506079,0.9972482548171393,0.9969758185506079,0.9972482548171393,0.9972482548171393
DeltaZ,DeltaZ_over_ZoneTime,0.993932821369284,0.9966505652445923,0.993932821369284,0.9966505652445923,0.9966505652445923
RelSpeed,ZoneSpeed,0.9931845127672178,0.9876452437468203,0.9931845127672178,0.9876452437468203,0.9931845127672178
SpinAxis_sin,SpinY,0.9547960707658564,0.9837404384606586,0.9547960707658564,0.9837404384606586,0.9837404384606586
ZoneSpeed,ZoneTime,-0.9676905768657758,-0.9438028971306929,0.9676905768657758,0.9438028971306929,0.9676905768657758
RelSpeed,ZoneTime,-0.9649624813293555,-0.9327543432930488,0.9649624813293555,0.9327543432930488,0.9649624813293555
PlateLocHeight,DeltaZ,0.9639747282225174,0.9566331084756683,0.9639747282225174,0.9566331084756683,0.9639747282225174
SpinAxis_cos,SpinX,0.9637852439554375,0.9474205110577955,0.9637852439554375,0.9474205110577955,0.9637852439554375
PlateLocHeight,DeltaZ_over_ZoneTime,0.957588969227386,0.9535016236606509,0.957588969227386,0.9535016236606509,0.957588969227386
DeltaVertAngle,AvgVertAngleChangeRate,0.9335003470304042,0.9525309182169153,0.9335003470304042,0.9525309182169153,0.9525309182169153
SpinAxis_sin,DeltaHorzAngle,-0.9176357787187064,-0.9498373601002106,0.9176357787187064,0.9498373601002106,0.9498373601002106
HorzBreak,SpinAxis_sin,-0.9155816021920385,-0.9488917892687095,0.9155816021920385,0.9488917892687095,0.9488917892687095
VertBreak,AvgVertAngleChangeRate,0.9311040507021332,0.9474759820396261,0.9311040507021332,0.9474759820396261,0.9474759820396261
DeltaHorzAngle,SpinY,-0.8583548921514258,-0.9338834653263147,0.8583548921514258,0.9338834653263147,0.9338834653263147
HorzBreak,SpinY,-0.8564204198288338,-0.9329728080851469,0.8564204198288338,0.9329728080851469,0.9329728080851469
InducedVertBreak,SpinAxis_cos,-0.9244492726257403,-0.9291974753717406,0.9244492726257403,0.9291974753717406,0.9291974753717406
InducedVertBreak,AvgVertAngleChangeRate,0.9015477083875403,0.9123582719030418,0.9015477083875403,0.9123582719030418,0.9123582719030418
InducedVertBreak,SpinX,-0.9048099577335694,-0.907795939778118,0.9048099577335694,0.907795939778118,0.907795939778118
VertRelAngle,VertRelAngle_x_Extension,0.8820182247712204,0.87266046584072,0.8820182247712204,0.87266046584072,0.8820182247712204
