xRV Of Event (Count Ind),count,mean,25%,50%,75%,min,max
-0.3802,423.0,-21.02868400944285,-26.256880339766028,-20.270657887456426,-15.784926120750434,-31.712241050775955,-11.83534626375939
-0.375,1163.0,-21.169107091862106,-25.65622089915333,-20.56128207334915,-16.79212336797979,-32.71232344175197,-10.2377415215209
-0.12,426.0,-20.518278554142068,-26.02967965751933,-18.787355530581017,-15.810105701848846,-32.60316765449931,-11.814500002444618
-0.06,1863.0,-21.28372712268889,-25.931244308679545,-20.574947487634187,-16.941554394621207,-32.28706089974059,-11.03818356334959
-0.03,1591.0,-20.35184805704503,-24.549206144761882,-19.229252894414046,-16.338590584400542,-32.03561878031276,-10.987399432087079
0.055,3886.0,-21.38105828988617,-25.670522160802417,-20.820985197734327,-17.12714778272246,-32.995345098830946,-10.343168424317618
0.39687,317.0,-20.94688433824171,-25.033479834878186,-20.459509575114293,-17.129535018156357,-31.509575383572695,-12.724991194782016
0.418,45.0,-20.67895501430559,-24.703416978786017,-18.58294959839306,-17.10766856509197,-29.144862438136627,-13.849281880827784
0.5888,449.0,-21.937029745923184,-26.288618983113047,-21.41442688048098,-17.520160060372856,-31.745293846940204,-11.762949922156121
0.6,51.0,-22.412656674895132,-26.46683050385466,-22.79010976629445,-18.21065109225098,-32.214611967453195,-13.728635452477642
0.891,103.0,-21.669714972401778,-25.402513820173336,-21.253714251132955,-17.423984112994567,-30.835338341079712,-13.459162541670874
1.183,11.0,-22.90909059607437,-24.585308285085922,-22.435445098905856,-21.00355651292537,-30.088137793645288,-17.881733056033752
1.459,70.0,-21.76058967542601,-26.404927146228868,-21.305423503895547,-17.74262350233261,-31.398231073600694,-14.067930914536218
