xRV Of Event (Count Ind),count,mean,25%,50%,75%,min,max
-0.3802,423.0,-0.03941524349881798,-0.7433939999999999,0.027350000000000013,0.6298075000000001,-3.085954,3.1600149999999996
-0.375,1163.0,-0.23157146947549445,-0.9241929999999999,-0.226379,0.4923570000000001,-3.720838,2.753899
-0.12,426.0,-0.08904234272300471,-0.8551727499999999,-0.08433400000000013,0.7158202499999999,-3.1852229999999997,3.034522
-0.06,1863.0,-0.21617719377348363,-0.9318575,-0.22900500000000001,0.5123514999999998,-3.555101,2.892925
-0.03,1591.0,-0.1374445945945946,-0.8116114999999999,-0.111995,0.5632315,-3.4824289999999998,3.1627090000000004
0.055,3886.0,-0.25837115542974776,-1.0247517500000003,-0.26863800000000015,0.480377,-3.7807649999999997,3.2709900000000003
0.39687,317.0,-0.25882120504731865,-1.0547749999999998,-0.261756,0.5436540000000001,-3.847623,2.524241
0.418,45.0,-0.05665680000000002,-0.8397319999999997,-0.10175099999999992,0.700074,-1.9549009999999996,2.805846
0.5888,449.0,-0.31131087082405345,-1.098571,-0.34040099999999995,0.510551,-3.35132,2.689597
0.6,51.0,-0.32045576470588233,-1.2647975,-0.1861759999999999,0.6169985000000001,-2.6090809999999998,2.524189
0.891,103.0,-0.4789470582524271,-1.18256,-0.5719629999999999,0.022095500000000046,-2.622872,3.030899
1.183,11.0,-0.21932145454545457,-1.0429335,0.08598799999999995,0.367484,-2.7037880000000003,2.922021
1.459,70.0,-0.16193008571428572,-0.7299607499999999,-0.317306,0.52579575,-2.367507,2.916251
