xRV Of Event (Count Ind),count,mean,25%,50%,75%,min,max
-0.3802,423.0,-8.713990829787233,-10.953517,-8.101609999999999,-6.311356999999999,-17.325017,-4.482483
-0.375,1163.0,-8.79973149527085,-10.494259,-8.21006,-6.8179155,-17.946662,-3.956969
-0.12,426.0,-8.534930046948357,-10.63294875,-7.7522825,-6.29138625,-19.040695,-4.502177
-0.06,1863.0,-8.885813961352657,-10.6848465,-8.242507,-6.8139125,-18.3506,-4.254999
-0.03,1591.0,-8.292741848522942,-9.9528095,-7.6133489999999995,-6.459049,-17.573814,-4.271813
0.055,3886.0,-8.966501689655173,-10.65933475,-8.336616,-6.9866695000000005,-18.86806,-4.001565
0.39687,317.0,-8.682398000000001,-10.088784,-8.026738,-6.9378269999999995,-17.609034,-4.805173
0.418,45.0,-8.378261444444448,-10.214145,-7.745617,-6.695548,-13.551892,-5.179119
0.5888,449.0,-9.240371189309577,-10.862498,-8.641831,-7.1206879999999995,-18.536128,-4.563507
0.6,51.0,-9.325585882352941,-11.0678605,-8.745089,-7.3979894999999996,-18.521017999999998,-5.268535
0.891,103.0,-9.14689504854369,-10.5287005,-8.590653,-7.3078425,-14.947351000000001,-5.329289999999999
1.183,11.0,-9.798341181818182,-10.238050999999999,-9.353515,-8.547218,-14.065936,-7.187956
1.459,70.0,-8.993062585714286,-10.57251775,-8.3805355,-6.99172375,-15.830179,-5.530201
