xRV Of Event (Count Ind),count,mean,25%,50%,75%,min,max
-0.3802,423.0,0.5657794089834515,0.024595000000000034,0.5470400000000002,1.09305,-1.7588400000000002,3.1475099999999996
-0.375,1163.0,0.6319871023215821,0.16798000000000002,0.6639200000000001,1.10263,-1.29719,2.74643
-0.12,426.0,0.6365446009389671,-0.016207500000000152,0.66446,1.2834,-1.66508,2.80758
-0.06,1863.0,0.5839183843263553,0.22250999999999999,0.57883,0.9232600000000002,-2.01251,2.64041
-0.03,1591.0,0.763944047768699,0.23790499999999992,0.7769000000000001,1.26083,-1.49,3.18597
0.055,3886.0,0.5901291070509522,-0.400205,0.4988600000000001,1.5906525000000002,-3.6371399999999996,5.11151
0.39687,317.0,0.6422430914826499,-0.34179000000000004,0.6194599999999999,1.6277999999999997,-2.5276199999999998,3.7644
0.418,45.0,1.3216544444444445,0.7775099999999999,1.68581,2.03968,-1.82396,3.1742000000000004
0.5888,449.0,0.5675501113585746,0.12014999999999998,0.5466899999999999,1.0447000000000002,-1.44648,2.16847
0.6,51.0,0.4305803921568628,0.059394999999999976,0.41913,0.6701900000000001,-1.19635,2.36151
0.891,103.0,0.6376380582524273,0.17132499999999984,0.58968,1.054385,-0.9652499999999999,3.38869
1.183,11.0,0.7594554545454547,0.26210500000000003,0.7715999999999998,1.31567,-0.90316,1.8820100000000002
1.459,70.0,0.7747718571428572,0.35202249999999985,0.7180700000000001,1.2148475000000003,-0.29305000000000003,1.9770599999999998
