xRV Of Event (Count Ind),count,mean,25%,50%,75%,min,max
-0.3802,423.0,5.060956075650118,4.444145000000001,5.15607,5.7107600000000005,2.87225,6.94381
-0.375,1163.0,5.102065640584694,4.55884,5.11085,5.629255000000001,2.95058,6.9118
-0.12,426.0,4.999074671361503,4.4755025,5.1332450000000005,5.619005,2.80844,7.02234
-0.06,1863.0,5.026479989264627,4.462845,5.07561,5.588365,2.80689,7.31289
-0.03,1591.0,5.188683947203017,4.652345,5.26099,5.7259,2.80271,7.06524
0.055,3885.0,5.056417845559846,4.51394,5.11682,5.63576,2.69543,7.14546
0.39687,317.0,5.094961924290221,4.5961,5.18841,5.67387,2.63327,6.9305
0.418,45.0,5.204276666666666,4.70189,5.31658,5.61554,3.23036,6.96306
0.5888,449.0,4.991854922048998,4.41275,5.02698,5.54369,2.86719,7.12674
0.6,51.0,5.0387464705882365,4.409644999999999,4.98936,5.6255749999999995,3.32147,6.59386
0.891,103.0,4.938867669902913,4.37254,5.08376,5.564225,2.86501,6.76454
1.183,11.0,5.021456363636363,4.611075,5.25275,5.60428,3.09522,6.05424
1.459,70.0,5.190943571428572,4.7169225,5.25783,5.64187,3.52486,6.76366
