xRV Of Event (Count Ind),count,mean,25%,50%,75%,min,max
-0.3802,423.0,-0.2569263144208038,-1.6323050000000001,-0.136675,0.917018,-4.40219,4.92168
-0.375,1163.0,-0.42554550902837485,-1.6175834999999998,-0.519855,0.8010120000000001,-5.86876,4.832996
-0.12,426.0,-0.19404143661971832,-1.64899675,-0.2724675,1.1248425,-5.599606,4.17289
-0.06,1863.0,-0.43507004508856684,-1.748003,-0.405647,0.653654,-5.168708,4.224073
-0.03,1591.0,-0.17536086737900689,-1.4187325,-0.177469,0.9569225,-5.427277,5.471631
0.055,3886.0,-0.4514353474009264,-2.157122,-0.354082,1.141137,-8.72051,6.50091
0.39687,317.0,-0.4134692776025237,-2.094999,-0.275526,0.975956,-5.453253,5.558576
0.418,45.0,-0.0829183777777778,-3.041046,0.477301,3.201725,-6.234508,5.003938
0.5888,449.0,-0.46025476837416485,-1.810724,-0.428382,0.718553,-4.66106,3.836177
0.6,51.0,-0.5211650784313724,-1.7801575,-0.50508,0.653363,-4.485695,3.956116
0.891,103.0,-0.6767162815533978,-1.5979765000000001,-0.64636,0.335364,-4.701397,2.825973
1.183,11.0,-0.262843909090909,-1.361005,-0.556212,-0.212516,-2.568564,3.779767
1.459,70.0,-0.27254077142857147,-1.38779225,-0.451206,0.92535375,-3.411899,3.159519
