xRV Of Event (Count Ind),count,mean,25%,50%,75%,min,max
-0.3802,423.0,-0.1477380614657211,-2.8561449999999997,0.10299,2.4266550000000002,-11.6826,11.8726
-0.375,1163.0,-0.8867344883920895,-3.52841,-0.86228,1.889825,-14.89371,11.12812
-0.12,426.0,-0.34899596244131453,-3.2851125,-0.323325,2.7426975,-12.54658,11.63587
-0.06,1863.0,-0.8321757541599571,-3.5599600000000002,-0.87449,1.945965,-14.43257,11.138
-0.03,1591.0,-0.5246831112507857,-3.0950800000000003,-0.42976,2.1540749999999997,-13.73709,12.88237
0.055,3886.0,-0.9961787725167268,-3.9321175,-1.033405,1.8466150000000001,-15.03379,12.77068
0.39687,317.0,-0.991728170347003,-3.96819,-0.99642,2.07256,-15.59934,9.73312
0.418,45.0,-0.2125324444444444,-3.17894,-0.39146,2.71425,-7.7726,10.63855
0.5888,449.0,-1.2006956347438753,-4.24571,-1.31047,1.99197,-12.83154,10.41134
0.6,51.0,-1.1977352941176471,-4.84345,-0.71252,2.4000000000000004,-9.64591,9.82914
0.891,103.0,-1.8560947572815532,-4.50534,-2.16382,0.08485999999999999,-10.07977,11.82666
1.183,11.0,-0.7527145454545454,-3.98327,0.33476,1.39006,-10.20445,11.84634
1.459,70.0,-0.6319537142857142,-2.8124625,-1.243625,1.9992275,-9.12331,11.50926
