xRV Of Event (Count Ind),count,mean,25%,50%,75%,min,max
-0.3802,423.0,-0.21751107092198585,-1.2764235,-0.161602,0.8371775,-3.823988,3.918797
-0.375,1163.0,-0.19397403955288045,-1.0864889999999998,-0.116816,0.6742675,-4.645201,3.773783
-0.12,426.0,-0.10499909389671361,-0.912155,-0.068349,0.7471570000000001,-3.672577,2.864412
-0.06,1863.0,-0.21889285131508318,-1.232914,-0.208846,0.7712165,-3.782029,3.380654
-0.03,1591.0,-0.037916272784412314,-0.8422365,0.012843,0.7699215,-3.35584,3.965571
0.055,3886.0,-0.1930641919711786,-1.68347975,-0.1128265,1.288374,-7.722871,4.73846
0.39687,317.0,-0.15464807255520505,-1.652992,0.029607,1.335401,-4.948136,4.563126
0.418,45.0,-0.026261577777777767,-2.492615,0.597139,2.489762,-4.884699,4.233839
0.5888,449.0,-0.14894389755011136,-0.92305,-0.04366,0.593584,-3.27633,3.684651
0.6,51.0,-0.20070931372549022,-1.1973525,-0.175131,0.679113,-3.359009,3.315337
0.891,103.0,-0.1977692233009709,-0.902659,-0.265265,0.521353,-3.162764,2.719068
1.183,11.0,-0.04352245454545451,-0.9893695,0.510178,0.8688385000000001,-2.969419,1.999665
1.459,70.0,-0.11061068571428573,-0.8501322499999999,-0.1148045,0.57593425,-3.56766,2.363301
