xRV Of Event (Count Ind),count,mean,25%,50%,75%,min,max
-0.3802,424.0,2.1539711084905657,1.637965,2.1555400000000002,2.6404775000000003,0.00275,4.4098
-0.375,1164.0,2.2539486168384877,1.81848,2.268745,2.6853875,0.6232,4.37117
-0.12,426.0,2.248696220657277,1.6582,2.266825,2.8677275,0.01715,4.39384
-0.06,1864.0,2.194582269313305,1.854095,2.21005,2.5371575,-0.44594,4.30251
-0.03,1592.0,2.369362675879397,1.9165450000000002,2.3889050000000003,2.8412825,0.16814,4.33941
0.055,3888.0,2.187410933641975,1.2001625,2.106185,3.2107125,-2.4162,6.47725
0.39687,317.0,2.2308005362776027,1.26023,2.12794,3.23909,-1.05569,5.17567
0.418,45.0,2.973476666666667,2.53057,3.37207,3.53756,-0.21048,4.77786
0.5888,449.0,2.1661534075723834,1.76213,2.16,2.57713,0.30647,3.88726
0.6,51.0,2.0856984313725486,1.720915,1.93523,2.45007,0.5058,3.64453
0.891,103.0,2.2262312621359226,1.8553199999999999,2.20973,2.541255,0.49729,4.21901
1.183,11.0,2.4436554545454543,1.9221050000000002,2.58735,2.87547,1.1217,3.60821
1.459,71.0,2.3371223943661965,2.007165,2.33657,2.7812200000000002,0.75,3.64312
