xRV Of Event (Count Ind),count,mean,25%,50%,75%,min,max
-0.3802,423.0,0.04278501182033096,-0.7116549999999999,-0.0233,0.762425,-2.2834,1.97374
-0.375,1163.0,0.14276049011177985,-0.33408499999999997,0.16307,0.614425,-1.8803,1.68942
-0.12,426.0,0.14777985915492958,-0.34528000000000003,0.12765500000000002,0.6517075,-2.04926,1.89158
-0.06,1863.0,0.14527355340848094,-0.51546,0.22238,0.779365,-1.51897,3.06858
-0.03,1591.0,0.21374391577624133,-0.27763,0.2595,0.704575,-1.8396,2.29969
0.055,3886.0,0.11640598301595471,-0.9037125,0.15564,1.153475,-4.55973,3.60629
0.39687,317.0,0.12301782334384856,-0.83595,0.25427,1.12723,-3.14876,2.77214
0.418,45.0,0.19384600000000005,-1.33422,1.04811,1.51572,-2.71886,3.44416
0.5888,449.0,0.16346414253897548,-0.32478,0.2077,0.61354,-1.82562,1.92969
0.6,51.0,0.23803941176470586,-0.36488,0.40823,0.7691699999999999,-1.58184,1.67482
0.891,103.0,0.1363193203883495,-0.264415,0.15798,0.60335,-1.46322,1.29697
1.183,11.0,0.2353709090909091,-0.09961,0.29385,0.6095900000000001,-0.46111,0.76871
1.459,70.0,0.13922257142857145,-0.096885,0.1507,0.4245325,-1.13746,1.04213
