xRV Of Event (Count Ind),count,mean,25%,50%,75%,min,max
-0.3802,423.0,1.5915107801418438,1.449725,1.58263,1.717135,0.7008,2.16222
-0.375,1163.0,1.6232546775580396,1.4670200000000002,1.62424,1.774725,0.69958,2.37831
-0.12,426.0,1.6121516197183097,1.46477,1.60068,1.744655,0.85884,2.16922
-0.06,1863.0,1.6114392914653783,1.446225,1.61163,1.77209,0.56297,2.53018
-0.03,1591.0,1.606436455059711,1.4589949999999998,1.60532,1.73842,0.72427,2.46788
0.055,3886.0,1.5980216160576428,1.4390875,1.60254,1.75861,0.5796,2.55172
0.39687,317.0,1.5885574447949529,1.45967,1.59304,1.7487,0.59117,2.42803
0.418,45.0,1.651822222222222,1.48046,1.63156,1.78914,1.18035,2.05802
0.5888,449.0,1.5986032962138084,1.41367,1.60695,1.76979,0.5491,2.43305
0.6,51.0,1.6551180392156863,1.4375200000000001,1.67868,1.862775,1.18083,2.13171
0.891,103.0,1.5885932038834956,1.4366750000000001,1.59148,1.746035,0.83032,2.43307
1.183,11.0,1.6842,1.59815,1.68957,1.74342,1.13632,2.057
1.459,70.0,1.5850237142857146,1.4757375,1.6265450000000001,1.7398099999999999,0.90475,2.12961
