xRV Of Event (Count Ind),count,mean,25%,50%,75%,min,max
-0.3802,423.0,0.1941579905437352,-0.44279,0.35565,0.735585,-1.2053,1.53907
-0.375,1163.0,0.3402525107480654,-0.09282499999999999,0.50048,0.8275699999999999,-1.22962,1.73979
-0.12,426.0,0.24637023474178402,-0.40806,0.44145999999999996,0.735805,-1.16144,1.68528
-0.06,1863.0,0.3546835695115405,-0.091375,0.50302,0.835565,-1.36715,1.88783
-0.03,1591.0,0.28191925832809556,-0.29166000000000003,0.4523,0.7874099999999999,-1.40283,1.78739
0.055,3886.0,0.32340694544518783,-0.11281,0.472905,0.7973675,-1.42605,1.93112
0.39687,317.0,0.30525220820189275,-0.19573,0.43923,0.80956,-1.19698,1.60784
0.418,45.0,0.23941222222222214,-0.55871,0.39885,0.84837,-1.19606,1.34869
0.5888,449.0,0.3572251670378619,-0.00603,0.50551,0.8136,-1.25725,1.53775
0.6,51.0,0.46640137254901964,0.2193,0.68515,0.94333,-1.07008,1.37928
0.891,103.0,0.4169636893203884,0.124315,0.52971,0.75013,-1.12984,1.6543
1.183,11.0,0.32107545454545455,0.06424000000000002,0.51724,0.765845,-1.00397,1.26799
1.459,70.0,0.2647804285714286,-0.077215,0.41709,0.6993674999999999,-1.07282,1.27502
