xRV Of Event (Count Ind),count,mean,25%,50%,75%,min,max
-0.3802,423.0,63.999779338061465,60.54897,65.87078,67.73276999999999,47.16034,75.75392
-0.375,1163.0,63.448964600171976,60.90471,64.73099,66.92839000000001,46.84316,75.95711
-0.12,426.0,63.723109483568074,58.83063,65.524305,67.65203749999999,46.68598,75.19109
-0.06,1863.0,63.47045648953301,61.085485000000006,64.83023,67.045995,46.44173,76.07308
-0.03,1591.0,64.48987896920175,62.800385000000006,65.39357,67.52284499999999,47.15007,77.11286
0.055,3886.0,63.1995254348945,60.109135,64.496105,66.88741999999999,45.23757,78.02191
0.39687,317.0,63.740770599369085,61.33993,64.62299,67.07531,47.68283,75.62748
0.418,45.0,64.68298822222222,63.75961,65.12918,66.52101,50.34427,69.64491
0.5888,449.0,63.12102347438753,60.37861,64.38815,66.65268,46.96238,73.81886
0.6,51.0,63.83458745098039,62.013825,65.5819,67.56476,45.19213,74.70213
0.891,103.0,62.743182815533984,60.029155,63.6174,66.24114499999999,49.67136,74.31992
1.183,11.0,61.754569999999994,59.464495,62.50165,63.2465,52.72278,69.5161
1.459,70.0,63.71957414285714,61.61395,64.70624000000001,66.69751000000001,52.64905,74.20733
