xRV Of Event (Count Ind),count,mean,25%,50%,75%,min,max
-0.3802,423.0,4.954678345153663,4.5745450000000005,4.984249999999996,5.378890000000002,2.8116700000000066,6.539899999999996
-0.375,1163.0,4.876904772141015,4.494545000000002,4.8818899999999985,5.293470000000003,2.9809899999999985,6.670980000000007
-0.12,426.0,4.99640676056338,4.647385,4.978054999999994,5.34446,2.9779099999999943,6.7594899999999996
-0.06,1863.0,4.8952512238325285,4.4821700000000035,4.909010000000002,5.309939999999997,2.8091300000000032,6.957729999999998
-0.03,1591.0,4.939085945945946,4.545435000000001,4.955089999999991,5.346269999999997,2.868859999999998,6.773979999999995
0.055,3886.0,4.9026657282552755,4.457417499999998,4.9130249999999975,5.377780000000007,2.133800000000001,7.330259999999996
0.39687,317.0,4.9243082965299685,4.46078,4.923969999999997,5.396459999999998,2.963809999999995,6.539590000000004
0.418,45.0,5.095484,4.694420000000008,5.020089999999996,5.516470000000005,3.5452200000000076,6.521279999999997
0.5888,449.0,4.871214654788418,4.451859999999996,4.912960000000005,5.255410000000005,2.1584299999999956,6.888400000000004
0.6,51.0,4.829131764705883,4.4871650000000045,4.882239999999996,5.081495000000004,3.0184700000000007,6.666319999999999
0.891,103.0,4.885430873786409,4.359360000000002,4.850110000000001,5.2808150000000005,3.6511500000000012,6.643240000000006
1.183,11.0,4.8969463636363635,4.601629999999997,4.943889999999996,5.165405000000003,3.825789999999998,5.880209999999998
1.459,70.0,4.931889714285714,4.651882499999999,4.885770000000004,5.19129,3.637839999999997,6.491399999999999
