xRV Of Event (Count Ind),count,mean,25%,50%,75%,min,max
-0.3802,423.0,173.2390081583924,76.5130065,180.923758,232.004017,0.442665,359.98144
-0.375,1163.0,169.24376607136713,75.608837,167.17272,234.5907375,0.021374,359.90391
-0.12,426.0,161.37378104225354,47.266121,175.3502925,217.65805075,1.118682,359.465174
-0.06,1863.0,164.66557443639292,66.59619599999999,165.210747,232.631067,0.09488,359.8411
-0.03,1591.0,166.48043781458202,80.7569125,172.922857,225.69387,0.118861,359.93674
0.055,3886.0,159.55677643463716,59.14318075,161.459882,226.99824725000002,0.041471,359.927588
0.39687,317.0,156.98685316403785,57.300077,155.346635,216.173755,0.724195,359.77071
0.418,45.0,179.44376284444442,116.545544,172.962338,224.350217,2.009112,357.864942
0.5888,449.0,157.42460225835185,52.893502,149.660076,242.189914,0.276366,359.644828
0.6,51.0,182.37397823529417,74.92351049999999,154.803769,323.196829,4.445182,359.628807
0.891,103.0,127.53272484466017,38.156189499999996,117.644956,185.8339895,1.067729,359.522049
1.183,11.0,203.21295745454546,99.254473,199.995482,316.15821700000004,32.870201,358.625257
1.459,70.0,155.08289157142855,42.272612499999994,152.74809349999998,232.17033225,1.050469,358.194439
