xRV Of Event (Count Ind),count,mean,25%,50%,75%,min,max
-0.3802,423.0,1487.4607406997636,1168.0612695,1388.782474,1619.853805,796.782633,3520.793214
-0.375,1163.0,1442.4382621582117,1150.648193,1361.220078,1596.905712,730.170697,3481.70989
-0.12,426.0,1499.5097319835681,1160.877268,1388.8565645,1687.4294945000001,704.788469,3391.436671
-0.06,1863.0,1439.9816801776706,1149.2008395,1365.408502,1592.0410095,700.733864,3529.669347
-0.03,1591.0,1451.1825233607794,1139.0585875000002,1361.151367,1595.9698835,729.388992,3579.165931
0.055,3885.0,1413.6822273709138,1122.568863,1332.880597,1571.954714,655.822101,3582.226313
0.39687,317.0,1376.9249040599368,1114.829918,1341.022831,1528.83395,778.238413,3449.462243
0.418,45.0,1435.0357720888887,1221.607677,1335.346529,1518.740278,993.428213,2787.150612
0.5888,449.0,1391.9354014610244,1128.29709,1310.227706,1568.341164,708.594786,3279.922186
0.6,51.0,1333.9146237647062,1104.5602575,1316.886631,1427.78838,724.280472,3139.843683
0.891,103.0,1383.3386536796113,1096.425644,1321.611643,1534.372044,866.403418,3163.07228
1.183,11.0,1265.030713090909,997.0998474999999,1207.298417,1552.5114435,950.489523,1650.403244
1.459,70.0,1431.1689747428572,1075.711603,1294.5558725,1565.43688625,736.602609,3273.393855
