xRV Of Event (Count Ind),count,mean,25%,50%,75%,min,max
-0.3802,423.0,-211.73407987507014,-1459.2804352964285,-25.005262558193028,1087.1428377768866,-3470.926120334005,2389.5917040304207
-0.375,1163.0,-154.48526167432246,-1281.8861655892954,-0.596192009095257,1042.94505641444,-3455.1707227597476,3295.5167641189632
-0.12,426.0,-320.2590509264111,-1453.9526779440707,-610.9865110840977,1040.1724180787232,-3209.002685192222,2909.63529831279
-0.06,1863.0,-131.30344653921298,-1233.7972400926665,-34.433805936986,1037.1101245351176,-3396.0191254658216,3295.5942903572336
-0.03,1591.0,-263.11030303116013,-1328.6683434305587,-463.0533591590158,1002.6741507716317,-3416.678476065971,3243.443518919715
0.055,3885.0,-94.48574959286712,-1141.1906579630268,100.01443474451943,1018.516192718734,-3513.686672886732,3526.6668772406406
0.39687,317.0,-95.1423429752046,-1142.597291626143,39.93899979698859,974.5836773272459,-3332.4091688261688,2141.2661688242642
0.418,45.0,-179.37420356746256,-1156.3606673843312,-624.8166098156779,1154.2149442406537,-2463.520541159228,2524.7253974890386
0.5888,449.0,35.90161926573095,-947.0912843079459,360.3096746377128,1054.0120726651455,-2879.1210548227564,2968.302339592847
0.6,51.0,242.11436130429976,-599.6915248583581,499.16616691433524,1246.5856910204,-2170.7241147785,1431.7812025988926
0.891,103.0,-52.873697786953066,-1030.9565698881916,330.51073541704767,945.5009021211413,-2234.5224726545703,1584.238125603481
1.183,11.0,192.74133807888526,-261.9243420403726,325.1828930910005,860.9520696536155,-1510.0990805729864,1378.496184981738
1.459,70.0,17.97109889096663,-979.6110833711185,324.28353147996097,1019.3313517800048,-2916.5233796233315,3082.6454181153917
