xRV Of Event (Count Ind),count,mean,25%,50%,75%,min,max
-0.3802,423.0,0.1095943814867866,-506.72502911040027,-16.001560458726313,528.0683509232659,-2635.143594547925,3042.4672515205807
-0.375,1163.0,170.47346855018827,-356.00488218080784,168.71970829750092,776.6514273535822,-2379.820122251247,3164.917539395832
-0.12,426.0,-2.4287146012619143,-562.9840962339522,64.41155248381068,503.0020159589286,-3037.6524744941644,2200.901318078652
-0.06,1863.0,162.1320748984549,-361.32717577320705,157.84304242404053,732.972194902972,-3457.488011704785,3194.7830509844466
-0.03,1591.0,114.52890991042473,-427.90278417429204,80.55395048058183,668.5286582499323,-2972.3548522747656,3383.784662112932
0.055,3885.0,181.6187991463469,-352.3619618438596,190.65729461713573,795.3737429149744,-3220.718154567188,3372.355698109336
0.39687,317.0,221.11239413674443,-361.64277940490143,225.30574012370082,865.7006218947769,-1555.4538294579281,2938.29491402906
0.418,45.0,160.78154982304773,-407.0244691175376,49.10704905226154,937.6269108896666,-1276.8145149041559,1942.3607769548144
0.5888,449.0,222.7568605985696,-330.33943343412614,249.17940145699774,887.5655388405576,-3044.5670564621173,3020.350695583794
0.6,51.0,210.71193846685426,-325.34814076242776,106.5930876615631,882.3524407167147,-1614.3548557267773,3094.324002968838
0.891,103.0,414.3846877446734,-22.14932625985328,448.33543693892483,995.7771987739559,-1411.0915883123903,2658.2011004070564
1.183,11.0,191.71367260569244,-404.1618142120481,-23.214903456545514,779.9082942762739,-1198.048735236051,1616.4157826077817
1.459,70.0,166.7802108421727,-399.6830502432532,240.6290100394482,711.7558022792755,-1542.6522915758105,2847.4206784363832
