xRV Of Event (Count Ind),count,mean,25%,50%,75%,min,max
-0.3802,423.0,-3.7767794255319154,-5.6031955,-3.636542,-1.9511254999999998,-9.962601,0.999993
-0.375,1163.0,-3.6612173989681853,-4.9992555,-3.485329,-2.123049,-9.967494,1.238583
-0.12,426.0,-3.6067888779342727,-5.419908749999999,-3.324507,-1.58424225,-10.558638,1.129671
-0.06,1863.0,-3.8182829779924847,-4.8039565,-3.609565,-2.6400195,-10.66676,0.663159
-0.03,1591.0,-3.1983298661219357,-4.5347605,-2.942583,-1.633944,-10.064706,1.042747
0.055,3886.0,-3.8440093816263508,-5.6611632499999995,-3.8029694999999997,-1.825224,-13.30954,3.31621
0.39687,317.0,-3.6106764605678228,-5.087857,-3.534541,-1.80663,-10.370652,1.827127
0.418,45.0,-2.3081965777777778,-3.789858,-1.72924,-0.473211,-8.940894,1.718321
0.5888,449.0,-4.059594759465479,-5.307762,-3.764117,-2.502728,-10.603279,0.163328
0.6,51.0,-4.205747509803921,-5.668652,-4.269858,-2.7133075,-9.192501,-0.454944
0.891,103.0,-3.9444929805825244,-4.994782000000001,-4.060234,-2.440254,-8.495413,-0.357296
1.183,11.0,-3.9364545454545454,-4.7900415,-3.428414,-2.791537,-8.26483,-0.875125
1.459,70.0,-3.519043228571429,-4.87632375,-3.191199,-2.2398765000000003,-8.54786,-0.482715
