xRV Of Event (Count Ind),count,mean,25%,50%,75%,min,max
-0.3802,423.0,-32.58745418439716,-41.216809999999995,-29.95088,-23.38698,-67.86059,-16.15658
-0.375,1163.0,-32.88695581255374,-39.779765,-30.32628,-25.18525,-69.91571,-14.32611
-0.12,426.0,-31.92817330985915,-40.2947675,-28.95232,-23.44032,-74.35815,-16.08863
-0.06,1863.0,-33.28539873859366,-40.65081,-30.62832,-25.30635,-71.66055,-15.48095
-0.03,1591.0,-30.917789208045253,-37.188505000000006,-28.17769,-23.740525,-68.815,-15.40725
0.055,3886.0,-33.58337239320638,-40.2523225,-31.042775,-25.94194,-74.0624,-14.33871
0.39687,317.0,-32.49412788643533,-38.16967,-29.87785,-25.43458,-69.39669,-17.42737
0.418,45.0,-31.34227777777778,-38.73876,-29.33112,-24.84308,-51.30648,-18.8691
0.5888,449.0,-34.70294826280624,-41.33841,-32.29218,-26.35919,-73.14114,-16.93367
0.6,51.0,-34.984472745098046,-41.489215,-32.12769,-26.929795,-68.56708,-19.22458
0.891,103.0,-34.348833398058254,-39.427815,-32.07947,-26.8173,-56.74928,-19.73344
1.183,11.0,-36.813019090909094,-37.864785,-35.39844,-31.510289999999998,-55.44346,-26.44974
1.459,70.0,-33.557258000000004,-39.8263125,-30.352420000000002,-26.019875,-61.72133,-20.52867
