xRV Of Event (Count Ind),count,mean,25%,50%,75%,min,max
-0.3802,423.0,4.93721140425532,3.937936,4.824842,5.8170075,1.188824,10.309004
-0.375,1163.0,5.138514096302665,4.3418205,5.0423,5.8505195,2.067994,10.30152
-0.12,426.0,4.9281411690140855,4.17642725,4.930099,5.75241025,1.412737,9.444043
-0.06,1863.0,5.067530983360172,3.99833,4.862358,5.9993775,0.512434,10.197081
-0.03,1591.0,5.094411982401006,4.2967925000000005,5.023384,5.805655,0.756695,10.297754
0.055,3886.0,5.122492308028821,3.5430415,5.067589,6.5043495,-1.517399,15.326592
0.39687,317.0,5.071721539432177,3.375391,4.822513,6.618085,1.07349,11.19403
0.418,45.0,6.070064866666665,5.12966,6.531821,6.971874,1.305451,10.416651
0.5888,449.0,5.180776429844099,4.335304,5.052287,5.979555,2.124998,10.630081
0.6,51.0,5.11983837254902,4.17798,4.828042,5.6992425,3.051963,9.648013
0.891,103.0,5.202402067961165,4.2557975,5.06198,5.8529555,2.328893,8.79828
1.183,11.0,5.861886636363636,5.112507000000001,5.582214,6.6286065,4.718277,7.294173
1.459,70.0,5.474019357142857,4.620241,5.334477,6.11797475,2.883499,8.444279
