xRV Of Event (Count Ind),count,mean,25%,50%,75%,min,max
-0.3802,423.0,59.045100992907805,55.499865,60.79498,62.66188,42.56179,70.57049
-0.375,1163.0,58.57205982803095,55.756195,59.71494,61.937435,42.82415,71.057
-0.12,426.0,58.72670272300469,53.919867499999995,60.46258,62.4586475,42.86417,70.46161
-0.06,1863.0,58.57520526570048,56.12908,59.74114,62.003515,42.11365,71.28903
-0.03,1591.0,59.55079302325581,57.67221,60.49416,62.422345,43.46499,71.81464
0.055,3886.0,58.29685970663921,55.127889999999994,59.54599,61.8554175,40.22365,72.87303
0.39687,317.0,58.81646230283911,56.41076,59.44367,62.04923,43.03375,70.22159
0.418,45.0,59.587504222222236,58.71909,60.24803,61.49399,45.84985,64.12603
0.5888,449.0,58.24980881959911,55.40424,59.57716,61.61445,42.85999,69.47898
0.6,51.0,59.00545568627451,57.446825000000004,60.37487,62.463295,41.36738,69.81989
0.891,103.0,57.857751941747566,54.601585,58.65811,60.998419999999996,45.73875,69.6214
1.183,11.0,56.857623636363634,53.991475,57.79936,58.86166,48.29204,64.56463
1.459,70.0,58.787684428571424,56.948185,59.867835,61.7247675,48.22086,69.54893
