xRV Of Event (Count Ind),count,mean,25%,50%,75%,min,max
-0.3802,423.0,0.4101795390070922,0.3817215,0.396807,0.43019300000000005,0.328164,0.573159
-0.375,1163.0,0.41297697162510755,0.385953,0.401285,0.4338055,0.325348,0.584601
-0.12,426.0,0.41288083568075123,0.382631,0.3994105,0.44186975,0.332096,0.585247
-0.06,1863.0,0.41400031078904986,0.385866,0.402673,0.4286415,0.328112,0.592194
-0.03,1591.0,0.40445744626021374,0.381138,0.396346,0.4173975,0.321136,0.577568
0.055,3886.0,0.41589729155944416,0.38627525,0.4038465,0.43962475,0.319554,0.608533
0.39687,317.0,0.4111360063091483,0.38589,0.40209,0.424367,0.328692,0.582135
0.418,45.0,0.40321757777777784,0.387928,0.397364,0.408534,0.366185,0.518723
0.5888,449.0,0.41681559688195996,0.38719,0.406246,0.436596,0.336829,0.588116
0.6,51.0,0.4121611568627451,0.3790665,0.402762,0.42604549999999997,0.336252,0.574926
0.891,103.0,0.4191732233009709,0.39599949999999995,0.406164,0.450498,0.334395,0.510867
1.183,11.0,0.4252881818181819,0.40380649999999996,0.419094,0.44083300000000003,0.375993,0.524494
1.459,70.0,0.40943155714285717,0.3852635,0.401749,0.42449875000000004,0.333048,0.505061
