class,precision,recall,f1-score,support
class_0_xrv_-0.3802,0.0,0.0,0.0,103.0
class_1_xrv_-0.3750,0.2898550724637681,0.055248618784530384,0.09280742459396751,362.0
class_2_xrv_-0.1200,0.0,0.0,0.0,100.0
class_3_xrv_-0.0600,0.3643724696356275,0.6605504587155964,0.46966731898238745,545.0
class_4_xrv_-0.0300,0.32027649769585254,0.29764453961456105,0.30854605993340734,467.0
class_5_xrv_0.0550,0.6534974093264249,0.8773913043478261,0.749072011878248,1150.0
class_6_xrv_0.3969,0.0,0.0,0.0,100.0
class_7_xrv_0.4180,0.0,0.0,0.0,16.0
class_8_xrv_0.5888,0.0,0.0,0.0,121.0
class_9_xrv_0.6000,0.0,0.0,0.0,16.0
class_10_xrv_0.8910,0.0,0.0,0.0,36.0
class_11_xrv_1.1830,0.0,0.0,0.0,3.0
class_12_xrv_1.4590,0.0,0.0,0.0,16.0
accuracy,0.5034596375617792,0.5034596375617792,0.5034596375617792,0.5034596375617792
macro avg,0.12523088070166716,0.14544884011250106,0.1246225242606162,3035.0
weighted avg,0.3969033533221261,0.5034596375617792,0.42671789133354326,3035.0
