,class_0_xrv_-0.3802,class_1_xrv_-0.3750,class_2_xrv_-0.1200,class_3_xrv_-0.0600,class_4_xrv_-0.0300,class_5_xrv_0.0550,class_6_xrv_0.3969,class_7_xrv_0.4180,class_8_xrv_0.5888,class_9_xrv_0.6000,class_10_xrv_0.8910,class_11_xrv_1.1830,class_12_xrv_1.4590
class_0_xrv_-0.3802,0.0,0.009708737864077669,0.0,0.33980582524271846,0.17475728155339806,0.47572815533980584,0.0,0.0,0.0,0.0,0.0,0.0,0.0
class_1_xrv_-0.3750,0.0,0.055248618784530384,0.0,0.47513812154696133,0.2569060773480663,0.212707182320442,0.0,0.0,0.0,0.0,0.0,0.0,0.0
class_2_xrv_-0.1200,0.0,0.01,0.0,0.25,0.38,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
class_3_xrv_-0.0600,0.0,0.03669724770642202,0.0,0.6605504587155964,0.10825688073394496,0.1944954128440367,0.0,0.0,0.0,0.0,0.0,0.0,0.0
class_4_xrv_-0.0300,0.0,0.021413276231263382,0.0,0.4132762312633833,0.29764453961456105,0.2676659528907923,0.0,0.0,0.0,0.0,0.0,0.0,0.0
class_5_xrv_0.0550,0.0,0.004347826086956522,0.0,0.0817391304347826,0.036521739130434785,0.8773913043478261,0.0,0.0,0.0,0.0,0.0,0.0,0.0
class_6_xrv_0.3969,0.0,0.0,0.0,0.05,0.05,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
class_7_xrv_0.4180,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
class_8_xrv_0.5888,0.0,0.024793388429752067,0.0,0.5785123966942148,0.18181818181818182,0.21487603305785125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
class_9_xrv_0.6000,0.0,0.0625,0.0,0.5,0.1875,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
class_10_xrv_0.8910,0.0,0.05555555555555555,0.0,0.5,0.3055555555555556,0.1388888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0
class_11_xrv_1.1830,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
class_12_xrv_1.4590,0.0,0.375,0.0,0.375,0.1875,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
