model_family,feature_set,feature_count,model_name,model_display_name,fold,best_epoch,epochs_trained,best_val_loss,exact_accuracy,balanced_accuracy,log_loss,top_2_accuracy,class_step_mae,expected_xrv_mae
tree,Set A,17,random_forest,Random Forest,1,,,,0.48732394366197185,0.13960376098461358,1.8680061085480797,0.6516431924882629,1.291549295774648,0.15443347943381072
tree,Set A,17,random_forest,Random Forest,2,,,,0.4807121661721068,0.1372048503462771,1.7606067731926984,0.6449060336300693,1.3001978239366963,0.1562784318914265
tree,Set A,17,random_forest,Random Forest,3,,,,0.4913835548990645,0.14082350209314848,1.7673784001853894,0.6390940423436731,1.3082225504677498,0.15735354330540155
tree,Set A,17,random_forest,Random Forest,4,,,,0.4931956827780385,0.1421709400847862,1.6943791232584489,0.659784138901924,1.2759267949319568,0.15434260959712376
tree,Set A,17,random_forest,Random Forest,5,,,,0.5053914674167839,0.14827115304874494,1.7766601442700962,0.6615096108766995,1.246601031411158,0.14801978310437505
tree,Set B,30,random_forest,Random Forest,1,,,,0.5014084507042254,0.14692359942396216,1.7697327992694711,0.6544600938967137,1.2652582159624413,0.15448712091528666
tree,Set B,30,random_forest,Random Forest,2,,,,0.48318496538081107,0.13740220436090272,1.8191624645330942,0.6399604352126608,1.2754698318496538,0.15575235831158002
tree,Set B,30,random_forest,Random Forest,3,,,,0.48399803052683404,0.13745713208898316,1.744408739065485,0.6317085179714427,1.311176760216642,0.15813466696719664
tree,Set B,30,random_forest,Random Forest,4,,,,0.48193336461755043,0.13592208562271485,1.7210921185626709,0.6574378226184889,1.2857813233223838,0.1542726934280664
tree,Set B,30,random_forest,Random Forest,5,,,,0.5067979371776841,0.14738679726005133,1.6850493156274473,0.6624472573839663,1.2259728082512893,0.14877653983729164
tree,Set C,31,random_forest,Random Forest,1,,,,0.49765258215962443,0.14503734394166787,1.7897650940345373,0.6483568075117371,1.276525821596244,0.15438022994300368
tree,Set C,31,random_forest,Random Forest,2,,,,0.4821958456973294,0.13627429822673878,1.857692585286325,0.6305637982195845,1.2789317507418398,0.1570236262288964
tree,Set C,31,random_forest,Random Forest,3,,,,0.4815361890694239,0.13719114589798326,1.804048744903396,0.6322008862629247,1.3298867552929592,0.15830704260417697
tree,Set C,31,random_forest,Random Forest,4,,,,0.4805255748474894,0.13511891902771234,1.6722329823439577,0.648991083998123,1.297982167996246,0.1537635381735659
tree,Set C,31,random_forest,Random Forest,5,,,,0.5096108766994843,0.14947481461568787,1.7299752398140944,0.6563525550867323,1.225503984997656,0.14856106095095123
tree,Set D,12,random_forest,Random Forest,1,,,,0.4164319248826291,0.12320644365569705,2.1663420985343538,0.571830985915493,1.4624413145539905,0.1621801487666971
tree,Set D,12,random_forest,Random Forest,2,,,,0.39762611275964393,0.11764377346354818,2.2538078431065673,0.5628090999010881,1.4579624134520277,0.16405825356291262
tree,Set D,12,random_forest,Random Forest,3,,,,0.40620384047267355,0.12073919008615744,2.1599422035371134,0.5608074839980305,1.4918759231905465,0.16599596012548365
tree,Set D,12,random_forest,Random Forest,4,,,,0.41952135147817926,0.12032731797145388,2.0621057664839904,0.5837634913186297,1.4392304082590333,0.1628401936703818
tree,Set D,12,random_forest,Random Forest,5,,,,0.42100328176277546,0.13023664062835139,2.2638136390166377,0.5714955461790905,1.4214721050164087,0.15798813848514096
tree,Set E,18,random_forest,Random Forest,1,,,,0.4934272300469484,0.14268765626663774,1.8283784388215114,0.6525821596244131,1.2713615023474178,0.1542495089762597
tree,Set E,18,random_forest,Random Forest,2,,,,0.4817012858555885,0.13630608474162914,1.78266229984031,0.6374876360039565,1.2863501483679525,0.15668251051371548
tree,Set E,18,random_forest,Random Forest,3,,,,0.4958148695224028,0.14282780618031282,1.7556477952202845,0.6469719350073855,1.2806499261447564,0.15786220885669652
tree,Set E,18,random_forest,Random Forest,4,,,,0.4936649460347255,0.14228567656701396,1.668275298044465,0.648052557484749,1.2721726888784608,0.1541991064486453
tree,Set E,18,random_forest,Random Forest,5,,,,0.5025785278949836,0.1468666727975269,1.8027583466900576,0.6676043131739334,1.2414439756211908,0.14804120822157318
