,pred_-0.3802,pred_-0.375,pred_-0.12,pred_-0.06,pred_-0.03,pred_0.055,pred_0.39687,pred_0.418,pred_0.5888,pred_0.6,pred_0.891,pred_1.183,pred_1.459
true_-0.3802,0,1,0,28,21,43,0,0,0,0,0,0,0
true_-0.375,0,8,0,130,77,64,0,0,0,0,0,0,0
true_-0.12,0,2,0,32,24,38,0,0,0,0,0,0,0
true_-0.06,0,6,0,296,56,68,0,0,0,0,0,0,0
true_-0.03,0,9,0,153,101,88,0,0,0,0,0,0,0
true_0.055,0,7,0,73,38,790,0,0,0,0,0,0,0
true_0.39687,0,0,0,7,5,59,0,0,0,0,0,0,0
true_0.418,0,0,0,0,0,11,0,0,0,0,0,0,0
true_0.5888,0,3,0,57,20,22,0,0,0,0,0,0,0
true_0.6,0,1,0,7,2,3,0,0,0,0,0,0,0
true_0.891,0,1,0,17,1,3,0,0,0,0,0,0,0
true_1.183,0,0,0,1,0,1,0,0,0,0,0,0,0
true_1.459,0,1,0,7,7,1,0,0,0,0,0,0,0
