,pred_-0.3802,pred_-0.375,pred_-0.12,pred_-0.06,pred_-0.03,pred_0.055,pred_0.39687,pred_0.418,pred_0.5888,pred_0.6,pred_0.891,pred_1.183,pred_1.459
true_-0.3802,0,0,0,24,22,47,0,0,0,0,0,0,0
true_-0.375,0,9,0,109,88,73,0,0,0,0,0,0,0
true_-0.12,0,2,0,27,26,41,0,0,0,0,0,0,0
true_-0.06,0,15,0,277,54,80,0,0,0,0,0,0,0
true_-0.03,0,7,0,139,107,98,0,0,0,0,0,0,0
true_0.055,0,1,0,54,43,810,0,0,0,0,0,0,0
true_0.39687,0,0,0,8,5,58,0,0,0,0,0,0,0
true_0.418,0,0,0,0,0,11,0,0,0,0,0,0,0
true_0.5888,0,2,0,51,24,25,0,0,0,0,0,0,0
true_0.6,0,1,0,6,2,4,0,0,0,0,0,0,0
true_0.891,0,0,0,16,3,3,0,0,0,0,0,0,0
true_1.183,0,0,0,1,0,1,0,0,0,0,0,0,0
true_1.459,0,1,0,6,8,1,0,0,0,0,0,0,0
