,pred_-0.3802,pred_-0.375,pred_-0.12,pred_-0.06,pred_-0.03,pred_0.055,pred_0.39687,pred_0.418,pred_0.5888,pred_0.6,pred_0.891,pred_1.183,pred_1.459
true_-0.3802,0,0,0,26,23,44,0,0,0,0,0,0,0
true_-0.375,0,0,0,110,100,69,0,0,0,0,0,0,0
true_-0.12,0,0,0,26,30,40,0,0,0,0,0,0,0
true_-0.06,0,0,0,272,73,81,0,0,0,0,0,0,0
true_-0.03,0,0,0,134,120,97,0,0,0,0,0,0,0
true_0.055,0,0,0,58,52,798,0,0,0,0,0,0,0
true_0.39687,0,0,0,7,5,59,0,0,0,0,0,0,0
true_0.418,0,0,0,0,0,11,0,0,0,0,0,0,0
true_0.5888,0,0,0,53,25,24,0,0,0,0,0,0,0
true_0.6,0,0,0,8,2,3,0,0,0,0,0,0,0
true_0.891,0,0,0,16,3,3,0,0,0,0,0,0,0
true_1.183,0,0,0,1,0,1,0,0,0,0,0,0,0
true_1.459,0,0,0,6,9,1,0,0,0,0,0,0,0
