,pred_-0.3802,pred_-0.375,pred_-0.12,pred_-0.06,pred_-0.03,pred_0.055,pred_0.39687,pred_0.418,pred_0.5888,pred_0.6,pred_0.891,pred_1.183,pred_1.459
true_-0.3802,0,0,0,27,21,45,0,0,0,0,0,0,0
true_-0.375,0,5,0,129,79,66,0,0,0,0,0,0,0
true_-0.12,0,0,0,31,25,40,0,0,0,0,0,0,0
true_-0.06,0,6,0,293,49,78,0,0,0,0,0,0,0
true_-0.03,0,3,0,160,94,94,0,0,0,0,0,0,0
true_0.055,0,3,0,66,44,795,0,0,0,0,0,0,0
true_0.39687,0,0,0,7,5,59,0,0,0,0,0,0,0
true_0.418,0,0,0,0,0,11,0,0,0,0,0,0,0
true_0.5888,0,4,0,55,20,23,0,0,0,0,0,0,0
true_0.6,0,1,0,6,2,4,0,0,0,0,0,0,0
true_0.891,0,0,0,17,2,3,0,0,0,0,0,0,0
true_1.183,0,0,0,1,0,1,0,0,0,0,0,0,0
true_1.459,0,0,0,9,6,1,0,0,0,0,0,0,0
