,pred_-0.3802,pred_-0.375,pred_-0.12,pred_-0.06,pred_-0.03,pred_0.055,pred_0.39687,pred_0.418,pred_0.5888,pred_0.6,pred_0.891,pred_1.183,pred_1.459
true_-0.3802,0,0,0,28,21,44,0,0,0,0,0,0,0
true_-0.375,0,7,0,115,84,73,0,0,0,0,0,0,0
true_-0.12,0,1,0,27,26,42,0,0,0,0,0,0,0
true_-0.06,0,4,0,268,63,91,0,0,0,0,0,0,0
true_-0.03,0,6,0,142,103,100,0,0,0,0,0,0,0
true_0.055,0,2,0,53,39,814,0,0,0,0,0,0,0
true_0.39687,0,0,0,6,4,61,0,0,0,0,0,0,0
true_0.418,0,0,0,0,0,11,0,0,0,0,0,0,0
true_0.5888,0,3,0,54,22,23,0,0,0,0,0,0,0
true_0.6,0,1,0,5,2,5,0,0,0,0,0,0,0
true_0.891,0,1,0,14,3,4,0,0,0,0,0,0,0
true_1.183,0,0,0,1,0,1,0,0,0,0,0,0,0
true_1.459,0,0,0,5,10,1,0,0,0,0,0,0,0
