,pred_-0.3802,pred_-0.375,pred_-0.12,pred_-0.06,pred_-0.03,pred_0.055,pred_0.39687,pred_0.418,pred_0.5888,pred_0.6,pred_0.891,pred_1.183,pred_1.459
true_-0.3802,0,1,0,25,21,46,0,0,0,0,0,0,0
true_-0.375,0,11,0,111,85,72,0,0,0,0,0,0,0
true_-0.12,0,1,0,24,25,46,0,0,0,0,0,0,0
true_-0.06,0,10,0,272,62,82,0,0,0,0,0,0,0
true_-0.03,0,9,0,131,105,106,0,0,0,0,0,0,0
true_0.055,0,4,0,55,33,816,0,0,0,0,0,0,0
true_0.39687,0,0,0,7,4,60,0,0,0,0,0,0,0
true_0.418,0,0,0,0,0,11,0,0,0,0,0,0,0
true_0.5888,0,3,0,53,22,24,0,0,0,0,0,0,0
true_0.6,0,1,0,6,2,4,0,0,0,0,0,0,0
true_0.891,0,0,0,16,3,3,0,0,0,0,0,0,0
true_1.183,0,0,0,1,0,1,0,0,0,0,0,0,0
true_1.459,0,0,0,6,8,2,0,0,0,0,0,0,0
