,pred_-0.3802,pred_-0.375,pred_-0.12,pred_-0.06,pred_-0.03,pred_0.055,pred_0.39687,pred_0.418,pred_0.5888,pred_0.6,pred_0.891,pred_1.183,pred_1.459
true_-0.3802,0,0,0,22,54,17,0,0,0,0,0,0,0
true_-0.375,0,0,11,103,154,11,0,0,0,0,0,0,0
true_-0.12,0,0,2,25,57,12,0,0,0,0,0,0,0
true_-0.06,0,0,9,109,297,11,0,0,0,0,0,0,0
true_-0.03,0,0,9,121,207,14,0,0,0,0,0,0,0
true_0.055,0,0,7,31,342,528,0,0,0,0,0,0,0
true_0.39687,0,0,1,2,26,42,0,0,0,0,0,0,0
true_0.418,0,0,0,0,1,10,0,0,0,0,0,0,0
true_0.5888,0,0,5,28,68,1,0,0,0,0,0,0,0
true_0.6,0,0,0,4,8,1,0,0,0,0,0,0,0
true_0.891,0,0,2,4,15,1,0,0,0,0,0,0,0
true_1.183,0,0,0,1,1,0,0,0,0,0,0,0,0
true_1.459,0,0,1,7,8,0,0,0,0,0,0,0,0
