,pred_-0.3802,pred_-0.375,pred_-0.12,pred_-0.06,pred_-0.03,pred_0.055,pred_0.39687,pred_0.418,pred_0.5888,pred_0.6,pred_0.891,pred_1.183,pred_1.459
true_-0.3802,0,0,0,31,42,20,0,0,0,0,0,0,0
true_-0.375,2,0,6,154,93,24,0,0,0,0,0,0,0
true_-0.12,0,0,0,39,41,16,0,0,0,0,0,0,0
true_-0.06,2,0,5,217,190,12,0,0,0,0,0,0,0
true_-0.03,0,0,8,186,137,20,0,0,0,0,0,0,0
true_0.055,0,0,1,60,279,568,0,0,0,0,0,0,0
true_0.39687,0,0,0,7,20,44,0,0,0,0,0,0,0
true_0.418,0,0,0,0,0,11,0,0,0,0,0,0,0
true_0.5888,0,0,4,56,37,5,0,0,0,0,0,0,0
true_0.6,1,0,0,5,6,1,0,0,0,0,0,0,0
true_0.891,0,0,0,12,9,1,0,0,0,0,0,0,0
true_1.183,0,0,0,1,1,0,0,0,0,0,0,0,0
true_1.459,0,0,1,13,2,0,0,0,0,0,0,0,0
