,pred_-0.3802,pred_-0.375,pred_-0.12,pred_-0.06,pred_-0.03,pred_0.055,pred_0.39687,pred_0.418,pred_0.5888,pred_0.6,pred_0.891,pred_1.183,pred_1.459
true_-0.3802,0,0,0,8,64,21,0,0,0,0,0,0,0
true_-0.375,1,4,1,81,167,25,0,0,0,0,0,0,0
true_-0.12,0,0,0,20,58,18,0,0,0,0,0,0,0
true_-0.06,0,4,0,88,303,31,0,0,0,0,0,0,0
true_-0.03,1,5,0,85,232,28,0,0,0,0,0,0,0
true_0.055,0,1,0,19,279,609,0,0,0,0,0,0,0
true_0.39687,0,0,0,3,21,47,0,0,0,0,0,0,0
true_0.418,0,0,0,0,0,11,0,0,0,0,0,0,0
true_0.5888,0,2,0,26,64,10,0,0,0,0,0,0,0
true_0.6,0,1,0,1,9,2,0,0,0,0,0,0,0
true_0.891,0,0,0,6,15,1,0,0,0,0,0,0,0
true_1.183,0,0,0,0,2,0,0,0,0,0,0,0,0
true_1.459,0,1,0,6,8,1,0,0,0,0,0,0,0
